Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2016,5,2,15:49:02,22.2751,94.6863,120,4.2,"49km WNW of Monywa, Burma",1462204142
2016,5,1,07:08:41,22.6224,94.7197,79.5,4.2,"70km NW of Monywa, Burma",1462086521
2016,4,14,05:41:53,23.816,94.1986,61.3,4.6,"30km NW of Mawlaik, Burma",1460612513
2016,4,3,10:58:32,23.7551,94.3079,62.6,4.1,"17km NW of Mawlaik, Burma",1459681112
2016,3,13,10:30:11,26.245,92.2565,53.7,4.5,"17km SSW of Marigaon, India",1457865011
2016,3,12,16:15:12,26.7746,89.092,14.9,3.9,"9km NW of Birpara, India",1457799312
2016,3,2,04:03:50,26.4817,95.4216,21.7,4.1,"43km SE of Mon, India",1456891430
2016,2,16,23:06:59,26.196,93.4977,39.7,4.7,"31km W of Silapathar, India",1455664019
2016,2,8,11:05:56,25.037,94.857,94,4,"38Km ENE of Ukhrul,Manipur,India",
2016,2,1,19:48:36,23.892,93.807,20,3.7,"60km NNEof Ngopa,Mizoram,India",
2016,1,18,06:04:53,24.1868,94.9004,84.7,4.3,"78km NE of Mawlaik, Burma",1453097093
2016,1,15,00:25:23,24.887,92.385,24,3.3,"60km NNE of Dharamanagar,Tripura,India",
2016,1,6,10:25:13,24.8896,93.4003,58.2,4.3,"40km ENE of Lakhipur, India",1452075913
2016,1,4,09:00:00,24.797,93.477,77,3.6,"34km WNW of Bishnupur, Manipur, India",
2016,1,4,03:37:48,25.329,93.178,3,3.2,"78km SW of Chumukedima, Nagaland, India",
2016,1,3,23:05:22,24.8036,93.6505,55,6.7,"30km W of Imphal, India",1451862322
2015,12,23,09:22:06,26.2583,93.0894,48.5,4.3,"36km NE of Hojai, India",1450862526
2015,12,21,23:52:28,24.4134,90.5812,14.2,4,"2km SSE of Gafargaon, Bangladesh",1450741948
2015,12,13,11:17:29,24.5749,95.0379,146.6,4,"98km E of Yairipok, India",1450005449
2015,12,1,23:27:08,22.0764,94.4847,35,4.2,"67km W of Monywa, Burma",1449012428
2015,11,27,12:04:18,22.5864,94.9855,13.8,4.6,"54km NNW of Monywa, Burma",1448625858
2015,11,25,16:15:10,26.4076,92.9745,54.5,4.7,"30km SE of Tezpur, India",1448468110
2015,11,15,23:24:40,24.7399,94.8163,89.7,4.4,"76km E of Yairipok, India",1447629880
2015,11,13,01:56:21,24.4982,94.6561,70.7,4.2,"62km ESE of Yairipok, India",1447379781
2015,11,7,09:29:27,23.4416,94.5795,104.8,4.3,"26km SE of Mawlaik, Burma",1446888567
2015,10,29,22:15:56,24.6819,92.4488,36.3,4.8,"11km W of Hailakandi, India",1446156956
2015,10,28,23:54:49,24.1002,92.8262,38.5,4.3,"11km NW of Darlawn, India",1446076489
2015,10,27,13:50:48,24.5022,94.9918,93.4,4.1,"95km E of Yairipok, India",1445953848
2015,10,17,06:29:39,24.7157,94.4863,63,4.3,"42km E of Yairipok, India",1445063379
2015,10,10,23:54:35,24.2558,96.0264,49,4.5,"122km W of Bhamo, Burma",1444521275
2015,10,2,11:29:24,22.5271,93.4444,42.7,4.6,"22km SW of Hakha, Burma",1443785364
2015,9,29,01:59:35,21.0922,94.5437,89.2,4.4,"36km NW of Chauk, Burma",1443491975
2015,9,25,20:28:38,23.1474,94.5161,90.4,4.1,"54km S of Mawlaik, Burma",1443212918
2015,9,25,16:57:41,26.5308,91.6928,48.8,4.4,"9km NE of Rangia, India",1443200261
2015,9,22,13:19:20,22.9503,94.4498,82.8,4.7,"75km S of Mawlaik, Burma",1442927960
2015,9,18,21:16:45,23.3233,93.9401,80.2,4.4,"52km NNE of Falam, Burma",1442611005
2015,9,18,20:25:19,23.6991,93.8603,64.1,4,"57km W of Mawlaik, Burma",1442607919
2015,9,17,18:34:17,24.5969,94.6668,80.1,4.7,"61km E of Yairipok, India",1442514857
2015,9,13,15:43:29,22.9668,96.0216,35,4.2,"49km W of Mogok, Burma",1442159009
2015,9,11,23:56:59,26.0549,89.5568,18.5,4,"12km SE of Dinhata, India",1442015819
2015,9,5,05:39:03,26.1923,92.8261,47.2,4.2,"21km N of Hojai, India",1441431543
